Date,Close,High,Low,Open,Volume,daily_return,log_return,high_low_ratio,ma_7,ma_14,ma_30,price_to_ma7,ma_crossover,volatility_7,volatility_14,day_of_week,month,quarter,is_monday,is_friday,volume_ma_7,volume_ratio,target
2021-09-06,732.5889892578125,739.724444603404,730.8343690908638,739.2565458922177,7876896,-0.6567162301401197,-0.006588820987896926,1.0121642822074708,735.8008422851562,726.7804129464286,705.7027811686198,0.9956348880800832,1,0.8104402127717325,0.8878409051333732,0,9,3,1,0,9735313.142857144,0.8091055607984551,1
2021-09-07,734.2500610351562,740.2157696718924,727.6760612202143,731.0917446980607,7245496,0.2267399321721486,0.0022648326509256303,1.017232542225796,737.1911708286831,728.6052115304129,707.8036458333333,0.9960103838598329,1,0.7786157043324629,0.8170019395296361,1,9,3,0,0,9858650.0,0.7349379478934742,1
2021-09-08,737.5955810546875,739.5139544547029,732.5422518441904,735.5133974033473,6724080,0.45563769035505963,0.00454602804194257,1.009517133780285,737.7359444754464,730.7241298130581,709.9349263509115,0.9998097375872627,1,0.6366008926046601,0.8114991374202323,2,9,3,0,0,9526494.857142856,0.7058293843467897,0
2021-09-09,733.9459228515625,739.0226125546611,730.3899039927794,736.4725873700415,8250948,-0.4948047814910095,-0.004960329935262005,1.011819315292681,736.8803449358259,732.5238647460938,712.2946960449219,0.9960177766927425,1,0.5659026707318032,0.8379444183799395,3,9,3,0,0,8981976.57142857,0.9186116145354962,0
2021-09-13,727.8399047851562,741.1516010354179,726.950885759595,730.8578287988149,8959164,-0.8319438634774134,-0.008354238307944243,1.0195346282039184,735.3061959402902,733.5582580566406,714.4361145019532,0.9898460108233057,1,0.6281846302608944,0.8766424244167655,0,9,3,1,0,8487206.0,1.055608170698343,0
2021-09-14,724.5646362304688,732.0275984882848,723.6521993929138,729.9220541014536,9758506,-0.44999848636415596,-0.004510140273106236,1.0115737907000037,732.6024169921875,733.2140241350446,716.3404703776042,0.9890284544859692,0,0.5088010710777346,0.6457426923786862,1,9,3,0,0,8507203.42857143,1.1470874162037872,0
2021-09-15,723.745849609375,727.4890398176126,718.2246212056044,718.2246212056044,14822998,-0.1130039447347908,-0.0011306784233482722,1.0128990546111563,730.6472778320312,732.8597673688616,718.276796468099,0.9905543640111353,0,0.4736594180983143,0.645878111846865,2,9,3,0,0,9091155.42857143,1.630485598498811,1
2021-09-16,729.8986206054688,731.9340258288291,718.8328610372279,719.5112913673174,10260550,0.8501286742320646,0.008465354308509948,1.0182256063985404,730.262939453125,733.0318908691406,720.2302734375,0.9995011127801048,0,0.5938201721952329,0.6872067902733459,3,9,3,0,0,9431677.42857143,1.087881776884954,1
2021-09-17,740.2860107421875,743.4911057217695,729.547700275712,734.1331308228171,20498102,1.4231277938437703,0.01413096391352986,1.0191123972302125,731.1252179827009,734.1581944056919,722.0527425130208,1.0125297179391006,0,0.8172365664834227,0.7677952918265345,4,9,3,0,1,11324906.857142856,1.8100018179903543,0
2021-09-20,729.851806640625,740.0753822447209,728.9862054323227,731.7935977510607,8781610,-1.4094828147706684,-0.01419510359656886,1.015211778672577,730.0189644949777,733.8774544852121,723.2224873860677,0.9997710225864224,0,0.9777958640981502,0.8010167689268701,0,9,3,1,0,11618839.714285715,0.7558078272826799,0
2021-09-21,726.1553955078125,733.9693384001288,715.3937249500291,730.857800489461,14774996,-0.5064605032392033,-0.0050774736123632685,1.0259655806337933,728.9060320172991,732.8931884765625,724.1473693847656,0.9962263496408802,0,0.9784973902428717,0.7681227201982661,1,9,3,0,0,12550846.57142857,1.177211108104421,0
2021-09-22,717.6162109375,725.3131787966195,715.8850085999203,724.7750838701154,10582202,-1.1759445186441009,-0.011829134337927457,1.0131699505974265,727.4455043247768,731.3758501325335,724.6121459960938,0.9864879316335861,0,1.026041573147626,0.817363906835636,2,9,3,0,0,12782709.142857144,0.8278528347735452,1
2021-09-23,734.6010131835938,735.5368106526174,721.4998486172622,721.4998486172622,13664304,2.3668364771058714,0.023392611634258726,1.0194552529182879,728.8792724609375,730.7408447265625,725.5845987955729,1.0078500527300465,0,1.3960914700044391,1.05215082913513,3,9,3,0,0,13340680.285714285,1.024258411666777,1
2021-09-24,749.3631591796875,752.3576650599522,736.9404262898995,738.8120210233342,20806702,2.0095460979720148,0.019896212112788223,1.020920603918651,732.5388881138393,731.5930829729352,727.2471944173177,1.0229670688325745,1,1.5387204534446117,1.1652607226234828,4,9,3,0,1,14195495.142857144,1.46572569611772,1
2021-09-27,760.3821411132812,765.2482988576648,752.3810850278968,755.9838820536164,16415462,1.4704461780128186,0.014597399435371496,1.017101990049751,736.8936767578125,733.5783081054688,729.1764953613281,1.0318749706997261,1,1.5790257282422546,1.1943742184817052,0,9,3,1,0,15074768.285714285,1.0889362734388583,0
2021-09-28,755.6798706054688,763.6107312729913,740.215794653108,763.6107312729913,12773790,-0.6184088570160062,-0.006203289245930572,1.031605562579014,739.0927995954241,735.1090087890625,730.5622578938802,1.0224424740967903,1,1.5894816540801542,1.2180120965025036,1,9,3,0,0,13971295.142857144,0.9142881793983595,0
2021-09-29,745.7603759765625,751.7260847567792,741.6896798907969,747.2342683926307,16263036,-1.3126583113770796,-0.013213498141999317,1.0135318114005039,741.3654523577009,735.6922084263393,731.5487447102864,1.005928147319092,1,1.5724024609686502,1.280925436237801,2,9,3,0,0,15040070.285714285,1.0813138297264036,1
2021-09-30,746.2749633789062,751.6090196581471,740.7303755440723,742.0872931149418,15975348,0.06900170871506628,0.0006897791348148761,1.0146863750606747,744.2396763392857,736.5728541782925,732.8011474609375,1.0027347198816805,1,1.536687149104439,1.2700692493663472,3,9,3,0,0,15211549.142857144,1.0502117733026233,0
2021-10-01,740.5433349609375,743.4911199571662,732.3785245518908,740.6837274337282,11128596,-0.7680317174272755,-0.007709962699127668,1.0151732950007986,747.5149797712054,737.480242047991,733.8882344563802,0.9906735717692217,1,1.4733376580244257,1.2664689120317925,4,10,4,0,1,15289605.42857143,0.7278537076701914,1
2021-10-04,741.970458984375,749.2696682201581,740.9644652266392,743.4911299550193,7051028,0.19271310078197157,0.001925276473097735,1.0112086387178887,748.5677577427456,738.7235151018415,734.995595296224,0.9911867714176412,1,1.209853356660381,1.2553855814221868,0,10,4,1,0,14344851.714285715,0.4915371828471423,1
2021-10-05,746.5089721679688,747.4681873677021,737.5253398049078,744.8947444690965,10257178,0.6116838114830214,0.006098206200899497,1.013481363996828,748.1600167410714,740.3494524274554,736.1006144205729,0.9977931932525684,1,0.935914289719202,1.2574474635995505,1,10,4,0,0,12837776.857142856,0.798983976286593,1
2021-10-06,755.6096801757812,761.2010472242603,742.5552940183129,746.7663826422353,18600830,1.2191022944282537,0.012117310902833843,1.0251102555676985,747.4782366071429,742.1859566824777,736.9748067220052,1.01087850210268,1,0.8703519660904956,1.2752141773416024,2,10,4,0,0,13149972.285714285,1.414514768233189,0
2021-10-07,753.5508422851562,761.5986769283292,751.9131968657225,761.0839997912436,11265724,-0.27247373143050035,-0.0027284561678230447,1.0128811146060206,747.174089704241,743.1334446498325,737.8029866536458,1.00853449372614,1,0.8445656787885896,1.235653862194288,3,10,4,0,0,12934534.285714285,0.8709802572824423,0
2021-10-08,749.8779296875,758.9317589146212,748.7081828334393,754.2527714983781,7245562,-0.4874140391799009,-0.004886057754447704,1.0136549543808797,747.7623116629464,744.5638820103237,738.5492879231771,1.0028292653849438,1,0.6780386095861196,1.1698793548722617,4,10,4,0,1,11646323.714285715,0.6221329732671251,1
2021-10-11,764.4529418945312,769.6933846455007,748.170043798271,748.5911640642425,13080848,1.9436513104346353,0.019250036513018112,1.028767979987492,750.3591657366071,747.2994210379464,739.8804606119792,1.018782706737631,1,0.9769847368775867,1.237404113297409,0,10,4,1,0,11232823.714285715,1.1645200114165417,0
2021-10-12,762.48779296875,768.0792173113862,760.3354701381298,760.3354701381298,8176946,-0.2570660426671978,-0.0025739702476873373,1.0101846454326924,753.4940883091518,750.5045340401786,740.837314860026,1.0119359989668666,1,0.8953401114467433,1.1714297957849564,1,10,4,0,0,10811159.42857143,0.7563431150955184,1
2021-10-13,767.0731201171875,771.0970374085115,762.6748610290496,765.9501518432847,6225644,0.6013640074924442,0.005995630308217724,1.011042944785276,757.0801827566964,752.823970249721,741.7419148763021,1.013199311761278,1,0.891252864410672,1.0352135663711168,2,10,4,0,0,10693247.42857143,0.5822033055520272,1
2021-10-14,789.5323486328125,790.7488739386398,766.4181393559124,766.4181393559124,14757288,2.9279123367266235,0.028858676985089277,1.0317460317460316,763.2263793945312,755.6931980678013,743.4310282389323,1.034466797726711,1,1.2893971751090108,1.1710736497608438,3,10,4,0,0,11336120.285714285,1.3017935261852374,0
2021-10-18,781.5311889648438,807.1252239441683,780.0105182530649,797.7672503332213,28856456,-1.0134049202447315,-0.010185748256142286,1.034761974430589,766.9294520786831,757.2038443429129,744.6990315755208,1.0190392178140821,1,1.4389774430264093,1.181268449206587,0,10,4,1,0,12801209.714285715,2.2541975832016234,1
2021-10-19,790.1405029296875,791.8951230348935,781.8587188797318,783.9408452246269,8987540,1.1015956991104803,0.01095572328776913,1.012836595554683,772.1565464564732,759.6653180803571,746.4559875488281,1.0232905575375162,1,1.4107894551196245,1.1787563420336193,1,10,4,0,0,12475754.857142856,0.720400497037202,0
2021-10-20,783.1923217773438,794.8430122320457,778.7940620449946,790.3277778106263,10908568,-0.8793602057585059,-0.008832493943872552,1.020607437792873,776.9157453264509,762.3390284946987,748.1427652994792,1.0080788380061154,1,1.4716830889411687,1.1374006479315286,2,10,4,0,0,12999041.42857143,0.8391824935662838,1
2021-10-21,784.3386840820312,786.9822662811649,777.109614248012,782.2331397429754,9738190,0.14637047284706828,0.0014626345568541693,1.0127043236271198,779.7565656389509,765.057865687779,749.8123860677083,1.0058763448042605,1,1.357043921761417,1.1360841554241938,3,10,4,0,0,12521518.857142856,0.7777163546293654,1
2021-10-22,786.4207763671875,799.1710165314034,781.7417891509615,786.1166307748242,12175554,0.2654583188884896,0.0026510660059929315,1.0222953763279965,783.1755632672991,768.3348257882254,751.439892578125,1.0041436598025988,1,1.3305723458254306,1.0896431944792369,4,10,4,0,1,13092748.57142857,0.9299463694407069,0
2021-10-25,775.30810546875,790.748761763541,755.0949055294567,790.748761763541,16426766,-1.4130693430775887,-0.014231482283346338,1.0472177152474424,784.3519897460938,770.716086251395,752.8186319986979,0.9884696100786696,1,1.4994949125091726,1.196468851352268,0,10,4,1,0,14550051.714285715,1.1289833412668675,0
2021-10-26,773.3196411132812,783.1922930858217,770.3250777594776,772.0329195806469,12090656,-0.256474083199032,-0.002568035414129801,1.0167036173400572,782.035888671875,772.6311340332031,754.3346232096354,0.9888544148870246,1,0.8725928457413595,1.2027269439190225,1,10,4,0,0,14169104.285714285,0.853311243688859,0
2021-10-27,768.6640625,779.0748093238908,766.090619464881,773.3196320532794,13249642,-0.6020251349854511,-0.006038446124510377,1.0169486344423317,780.1977277483259,773.5635899135044,755.8046040852864,0.985216997130186,1,0.8287136659361497,1.1893082002161037,2,10,4,0,0,11939559.42857143,1.1097262071742393,0
2021-10-28,745.6434326171875,772.0329334003637,742.6255085423319,772.0329334003637,17797750,-2.994888275112051,-0.030406510678488503,1.039599265739948,773.8410034179688,772.998774937221,756.5345235188802,0.9635615447149534,1,1.1226868723028092,1.4532626206048218,3,10,4,0,0,13198160.857142856,1.3485022794193209,0
2021-10-29,740.6134643554688,749.5737361074018,729.9219902169456,743.9589515672715,12406874,-0.6745809111553092,-0.006768664927141308,1.026923076923077,767.7583095005581,772.3370274135044,756.8916849772136,0.9646440229832907,0,1.123523888471209,1.4582944642098334,4,10,4,0,1,13412204.57142857,0.9250435999484989,1
2021-11-01,751.1178588867188,753.7848588180418,740.9410614445757,741.6194917607675,8122320,1.4183369648014255,0.014083726736960105,1.0173344386507952,763.0124773297991,771.384521484375,757.2527465820312,0.98441097780641,0,1.3749170993906619,1.4081465058412224,0,11,4,1,0,13181366.0,0.6161971376866404,1
2021-11-02,751.7962646484375,758.9317200932103,748.6613660865314,751.44534061017,13237722,0.09031948231457143,0.0009027871881321931,1.0137182903671988,758.0661185128348,770.6208408900669,757.984228515625,0.9917291464276263,0,1.357857302803802,1.408538065859384,1,11,4,0,0,13333104.285714285,0.9928462056794619,0
2021-11-03,739.9584350585938,753.2701884011461,737.197878202498,751.0242516160887,10207338,-1.5746060663628714,-0.015871346792541655,1.021801894272725,753.0161655970982,768.684077671596,758.4443298339844,0.9826594286616006,0,1.374589699437772,1.4457530301627919,2,11,4,0,0,12444614.57142857,0.8202213046786435,1
2021-11-04,745.8071899414062,747.6320064902674,744.0057911766709,746.2985064756734,1096808,0.7904166782488842,0.007873092493067507,1.0048739073762605,749.0858154296875,765.5608520507812,759.3840291341146,0.9956231643681565,0,1.4783710852073435,1.171531301874616,3,11,4,0,0,10874064.857142856,0.10086458140623823,1
2021-11-08,748.7548828125,750.8370091478968,734.8114789267887,744.9414970446072,18943580,0.3952352445576901,0.003944562419855079,1.0218090363048136,746.2416469029018,763.2196873256138,759.8558247884115,1.003367858012252,0,1.5152473666112816,1.1752541472219276,0,11,4,1,0,11687484.57142857,1.6208432091803404,0
2021-11-09,735.65380859375,746.1113342173927,734.1565554425947,746.1113342173927,12695476,-1.7497146956209852,-0.01765203138157293,1.0162836913818618,744.8145577566964,759.3277805873325,759.3988464355468,0.9877006308918858,0,1.1939859222267293,1.160820825632223,1,11,4,0,0,10958588.285714285,1.1584955716011283,0
2021-11-10,727.6995239257812,734.1331316762905,725.2430555119505,733.6652329307989,13714126,-1.0812537874538952,-0.010871418177169596,1.012258064516129,742.969709123884,755.364009312221,758.3094258626302,0.9794470958767493,0,1.231019556573009,1.167096409946249,2,11,4,0,0,11145338.57142857,1.2304808788094241,0
2021-11-11,724.4476928710938,727.5358133486826,718.5053441857983,725.2665157236048,7999404,-0.44686452962681145,-0.004478659536186907,1.0125684091788036,739.159685407366,751.0860813685825,757.2683532714843,0.9800963271851546,0,0.9892343394808921,1.1518210842381273,3,11,4,0,0,11127779.142857144,0.7188679697273441,1
2021-11-12,726.646728515625,729.4775386819591,722.9269564545162,725.2430323240301,14914092,0.30354650393269456,0.0030308673171247284,1.0090611951442081,735.56689453125,746.8165065220425,756.6312316894531,0.9878730730244331,0,1.0138113580586023,1.1539626314819278,4,11,4,0,1,11367260.57142857,1.3120216525594859,1
2021-11-15,728.6353149414062,735.4666251415645,727.3018149519153,730.904612413564,9533594,0.27366619125135383,0.002732924071220821,1.0112261650140237,733.9493059430804,743.4827357700893,756.0432434082031,0.9927597301902943,0,0.9174626840359291,1.145712597400655,0,11,4,1,0,11271011.42857143,0.8458507970130199,0
2021-11-16,724.3071899414062,728.6118351487053,721.3126268284178,727.582480851994,8245406,-0.5940042859915562,-0.0059577550902731235,1.0101193408361389,730.8778773716518,739.9818464006696,755.5020385742188,0.9910098695915182,0,0.8067901592548831,1.1451875288924216,1,11,4,0,0,12292239.714285715,0.6707814191434461,0
