Date,Close,High,Low,Open,Volume,daily_return,log_return,high_low_ratio,ma_7,ma_14,ma_30,price_to_ma7,ma_crossover,volatility_7,volatility_14,day_of_week,month,quarter,is_monday,is_friday,volume_ma_7,volume_ratio,target
2021-09-06,1098.597900390625,1123.2366380009644,1092.4381261377828,1092.891091235902,33641710,1.553284275520106,0.015413442977860316,1.028192454223533,1043.742919921875,1015.6894836425781,979.1006062825521,1.0525560264139142,1,1.5545793661638347,1.281659212273016,0,9,3,1,0,19485936.42857143,1.7264610363129658,1
2021-09-07,1105.52734375,1113.272195169168,1092.4379602260194,1100.5904921516135,17349882,0.6307533772739848,0.006287724536241004,1.0190713209369238,1057.556928362165,1024.6394696916852,984.5967651367188,1.0453596530847058,1,1.4679542311977138,1.234536400365731,1,9,3,0,0,20467257.285714287,0.8476896419389739,0
2021-09-08,1101.2020263671875,1111.4606486919852,1090.0149514607642,1110.554838373318,14301651,-0.391244722011197,-0.003920120863426022,1.0196746817119167,1067.9805472237724,1033.008749825614,990.2786214192708,1.031106820465761,1,1.5680038839586954,1.27484655738573,2,9,3,0,0,20506484.285714287,0.6974209133431593,0
2021-09-09,1098.597900390625,1104.1460938907833,1094.295151259694,1099.6395643758528,8963249,-0.23648031098829625,-0.0023676036728150257,1.0090020892624347,1078.8150111607142,1041.9813929966517,996.1401407877604,1.018337610271687,1,1.5232334073412968,1.1904368427311172,3,9,3,0,0,18003310.85714286,0.4978667019152096,0
2021-09-13,1074.1175537109375,1101.949327153265,1072.5323557228828,1101.949327153265,16311160,-2.2283263668156583,-0.022535286552337986,1.027427584140858,1085.5731898716517,1048.749280657087,1000.9456034342448,0.9894473847847434,1,1.9659000230808814,1.4524783970192783,0,9,3,1,0,18741264.285714287,0.8703340261005412,0
2021-09-14,1072.71337890625,1084.2853708994928,1071.6036685532943,1075.6799942004575,8908356,-0.13072822428386033,-0.00130813748171014,1.0118343215111603,1090.3643798828125,1054.7261744907923,1005.9752563476562,0.98381183272104,1,1.969274266213877,1.4644650760293818,1,9,3,0,0,18591490.85714286,0.47916307887580767,1
2021-09-15,1077.1746826171875,1085.0780298856923,1072.7360805602518,1072.7360805602518,9071075,0.41588963078713626,0.004150272002081686,1.0115051125333594,1089.7043980189733,1060.4102957589287,1010.5919982910157,0.9885017299879085,1,1.1657365651917537,1.462926677359358,2,9,3,0,0,15506726.142857144,0.5849767975800879,1
2021-09-16,1099.775390625,1103.647816826433,1072.056826477489,1078.646803599393,13448882,2.0981469739801195,0.02076438988933078,1.0294676453418463,1089.8726109095983,1066.8077654157366,1015.731864420573,1.0090861809135079,1,1.3013449206302583,1.5100388951666883,3,9,3,0,0,12622036.42857143,1.065508095790067,0
2021-09-17,1082.72265625,1112.2982358053355,1075.9515432268888,1107.8369923894184,34882133,-1.550565189980202,-0.015627121802931968,1.0337809753675702,1086.6147984095983,1072.0858633858818,1020.0617492675781,0.996418103116859,1,1.389612403687975,1.608538042466893,4,9,3,0,1,15126643.714285715,2.3060061213087906,1
2021-09-20,1084.444091796875,1095.3140549772365,1073.415512979037,1074.3666078022443,11779819,0.15899136652752777,0.0015886510906230659,1.020400806335866,1084.2208077566963,1076.1006774902344,1023.9885477701823,1.0002059396375547,1,1.398402370360687,1.5582720184171939,0,9,3,1,0,14766382.0,0.7977457849864645,1
